Phil Dawson,2018,1,ARI,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,2,LAR,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,3,ARI,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,4,ARI,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,5,SF,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,6,MIN,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,7,ARI,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,8,ARI,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,10,KC,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Dawson,2018,12,LAC,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,1,CLE,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,2,NO,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,13,GB,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,14,ARI,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,15,ATL,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,16,ARI,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zane Gonzalez,2018,17,SEA,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Lee,2018,1,ARI,WAS,5,263,52.6,60,1,3,0,2,0,0,46.2,2,12,0
Andy Lee,2018,2,LAR,ARI,8,403,50.4,58,0,1,1,1,0,0,33.8,6,133,0
Andy Lee,2018,3,ARI,CHI,4,203,50.8,61,1,1,0,1,0,0,39.8,2,24,0
Andy Lee,2018,4,ARI,SEA,5,253,50.6,56,0,1,0,1,0,0,42.8,4,39,0
Andy Lee,2018,5,SF,ARI,8,317,39.6,52,0,5,1,1,3,0,39.2,3,3,0
Andy Lee,2018,6,MIN,ARI,6,288,48,61,0,1,0,2,1,0,43.7,3,26,0
Andy Lee,2018,7,ARI,DEN,6,304,50.7,56,0,1,1,1,1,0,46.8,3,23,0
Andy Lee,2018,8,ARI,SF,5,229,45.8,55,0,1,0,1,0,0,39.4,4,32,0
Andy Lee,2018,10,KC,ARI,5,247,49.4,55,1,1,2,0,0,0,45.4,2,0,0
Andy Lee,2018,11,ARI,OAK,8,418,52.2,60,1,2,1,1,1,0,45.9,4,31,0
Andy Lee,2018,12,LAC,ARI,5,246,49.2,60,1,0,0,2,0,0,39.6,2,28,0
Andy Lee,2018,13,GB,ARI,6,269,44.8,64,0,3,0,1,3,0,40.7,2,25,0
Andy Lee,2018,14,ARI,DET,6,299,49.8,57,1,3,0,2,0,0,45.2,3,8,0
Andy Lee,2018,15,ATL,ARI,7,336,48,64,0,2,1,4,0,0,46.6,2,10,0
Andy Lee,2018,16,ARI,LAR,5,246,49.2,56,0,4,0,1,2,0,44,2,26,0
Andy Lee,2018,17,SEA,ARI,5,247,49.4,62,1,3,0,3,1,0,45.4,0,0,0
Matt Bosher,2018,1,PHI,ATL,6,286,47.7,57,0,1,0,1,1,0,42.8,4,29,0
Matt Bosher,2018,2,ATL,CAR,4,179,44.8,54,1,2,0,0,1,0,37.5,2,9,0
Matt Bosher,2018,3,ATL,NO,5,216,43.2,48,0,1,0,2,0,1,33.3,3,16,0
Matt Bosher,2018,4,ATL,CIN,1,41,41,41,0,0,0,0,0,0,28,1,13,0
Matt Bosher,2018,5,PIT,ATL,3,117,39,42,0,2,1,1,1,1,29.2,0,0,0
Matt Bosher,2018,6,ATL,TB,4,180,45,54,0,1,1,0,1,0,41.2,2,15,0
Matt Bosher,2018,7,ATL,NYG,3,133,44.3,49,0,2,0,1,0,0,34.7,2,29,0
Matt Bosher,2018,9,WAS,ATL,2,103,51.5,55,0,1,0,1,0,0,51.5,1,0,0
Matt Bosher,2018,10,CLE,ATL,3,118,39.3,44,0,2,0,2,0,0,37.3,1,6,0
Matt Bosher,2018,11,ATL,DAL,2,62,31,35,0,2,0,2,0,0,31,0,0,0
Matt Bosher,2018,12,NO,ATL,2,96,48,52,0,0,0,1,0,0,44.5,1,7,0
Matt Bosher,2018,13,ATL,BAL,5,252,50.4,55,1,3,0,3,0,0,45.6,1,4,0
Matt Bosher,2018,14,GB,ATL,4,200,50,55,0,1,0,1,1,0,50,2,0,0
Matt Bosher,2018,15,ATL,ARI,6,266,44.3,55,0,0,0,2,1,0,39.2,3,31,0
Matt Bosher,2018,16,CAR,ATL,5,235,47,54,0,2,0,3,0,0,43.8,2,16,0
Matt Bosher,2018,17,TB,ATL,5,245,49,57,1,2,1,1,0,0,43.2,2,9,0
Matt Bryant,2018,1,PHI,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bryant,2018,2,ATL,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bryant,2018,3,ATL,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bryant,2018,4,ATL,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bryant,2018,5,PIT,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Bryant,2018,6,ATL,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
